boletin,titulo,origen_iniciativa,codigo_destinacion,comision_destino_sufijo,comision_origen_evento,comision_origen_proxy,origin_proxy_source,origin_proxy_mismatch,tema_proxy_origen,materia_pagina,materias_oficiales,comisiones_tramitacion,temas_proxy_trayectoria,comisiones_sustantivas,ministerios,text_quality,signal_strength,review_reason,origin_evidence_event
18474-11,Obliga a los administradores de recintos de alta concurrencia pública a adoptar medidas para prevenir en ellos la ocurrencia de suicidios,parlamentario,11,Salud,,Salud,sufijo_boletin,0,Salud,,,Salud,Salud,Salud,,rica,alta,,
18475-06,Dispone incompatibilidades para el ejercicio simultáneo de cargos de elección popular y funciones públicas remuneradas,parlamentario,06,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",sufijo_boletin,0,Gobierno interior y descentralización,,,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",Gobierno interior y descentralización,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,rica,alta,,
18476-03,"Modifica la ley N°19.496, sobre protección de los derechos de los consumidores, para evitar la generación de cobros improcedentes con posterioridad al fallecimiento del titular de contratos de tracto sucesivo o de ejecución continua",parlamentario,03,"Economía, Fomento, MIPYMES, Consumidores y Turismo",,"Economía, Fomento, MIPYMES, Consumidores y Turismo",sufijo_boletin,0,"Economía, comercio y consumidores",,,"Economía, Fomento, MIPYMES, Consumidores y Turismo","Economía, comercio y consumidores","Economía, Fomento, MIPYMES, Consumidores y Turismo",,rica,alta,,
18477-07,Modifica la Constitución Política en lo relativo a procedimientos de acusación constitucional e interpelación,parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18479-07,"Modifica la ley N°20.886, sobre tramitación electrónica de los procedimientos judiciales, para habilitar la tramitación de los juicios arbitrales de partición de bienes y de liquidación de la sociedad conyugal a través de la Oficina Judicial Virtual",parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18480-07,"Modifica la ley N° 18.918, orgánica constitucional del Congreso Nacional, para obligar a diputadas, diputados, senadoras y senadores a rendir una cuenta pública, de carácter anual e individual, sobre su gestión parlamentaria",parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18446-07,Tiene por objeto ampliar la aplicación de la circunstancia eximente de responsabilidad penal de la legítima defensa al caso que indica,parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18465-03,"Modifica la ley N° 19.496, que establece normas sobre protección de los derechos de los consumidores, con el objeto de regular la devolución del monto pagado ante la cancelación, suspensión, postergación o modificación de condiciones esenciales de un espectáculo público o evento masivo",parlamentario,03,"Economía, Fomento, MIPYMES, Consumidores y Turismo",,"Economía, Fomento, MIPYMES, Consumidores y Turismo",sufijo_boletin,0,"Economía, comercio y consumidores",,,"Economía, Fomento, MIPYMES, Consumidores y Turismo","Economía, comercio y consumidores","Economía, Fomento, MIPYMES, Consumidores y Turismo",,rica,alta,,
18466-37,"Modifica la ley N° 19.227 que crea un Fondo Nacional de Fomento del Libro y la Lectura, y modifica cuerpos legales que señala, con el objeto promover el acceso a la lectura",parlamentario,37,,,,sin_proxy,0,,,,,,,,rica,baja,codigo_destinacion_no_mapeado | sin_proxy_comision_origen,
18481-07,"Modifica las leyes Nº 20.880, 18.575 y 18.918, para fortalecer la probidad e integridad pública en Chile",parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18482-07,Modifica la Constitución Política para impedir la participación de autoridades en procesos de formación de leyes de cuya ejecución obtengan un incremento patrimonial significativo,parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18483-01,Fortalece la persecución del contrabando de alimentos,parlamentario,01,"Agricultura, Silvicultura y Desarrollo Rural",,"Agricultura, Silvicultura y Desarrollo Rural",sufijo_boletin,0,Agricultura y mundo rural,,,"Agricultura, Silvicultura y Desarrollo Rural",Agricultura y mundo rural,"Agricultura, Silvicultura y Desarrollo Rural",,rica,alta,,
18484-15,"Modifica la ley N°18.290, de Tránsito, para que las escuelas de conducción instruyan programas sobre defensa y reacción ante actos delictuales de alta connotación",parlamentario,15,Transportes y Telecomunicaciones,,Transportes y Telecomunicaciones,sufijo_boletin,0,Transportes y telecomunicaciones,,,Transportes y Telecomunicaciones,Transportes y telecomunicaciones,Transportes y Telecomunicaciones,,rica,alta,,
18485-07,Modifica el Código Penal para incorporar la pena de clausura de establecimientos físicos y espacios digitales,parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18486-03,"Modifica la ley N°18.490, sobre seguro obligatorio de accidentes personales causados por circulación de vehículos motorizados, para incrementar el monto de los reembolsos por gastos médicos",parlamentario,03,"Economía, Fomento, MIPYMES, Consumidores y Turismo",,"Economía, Fomento, MIPYMES, Consumidores y Turismo",sufijo_boletin,0,"Economía, comercio y consumidores",,,"Economía, Fomento, MIPYMES, Consumidores y Turismo","Economía, comercio y consumidores","Economía, Fomento, MIPYMES, Consumidores y Turismo",,rica,alta,,
18487-12,"Modifica la ley N°19.300, para eliminar las labores de exploración minera de aquellas que deben ingresar al Sistema de Evaluación de Impacto Ambiental",parlamentario,12,Medio Ambiente y Recursos Naturales,,Medio Ambiente y Recursos Naturales,sufijo_boletin,0,Medio ambiente,,,Medio Ambiente y Recursos Naturales,Medio ambiente,Medio Ambiente y Recursos Naturales,,rica,alta,,
18462-11,Con el objeto de establecer una ley marco sobre infertilidad y medicina reproductiva,parlamentario,11,Salud,,Salud,sufijo_boletin,0,Salud,,,Salud,Salud,Salud,,rica,alta,,
18464-14,"Modifica el decreto ley N° 2.695, de 1979, estableciendo un nuevo procedimiento para la regularización de la posesión de la pequeña propiedad raíz y la constitución del dominio sobre ella, en situaciones de emergencia",ejecutivo,14,"Vivienda, Desarrollo Urbano",Hacienda,Hacienda,evento_cuenta_vs_sufijo,1,Economía y hacienda,,,"Vivienda, Desarrollo Urbano | Hacienda",Vivienda y territorio | Economía y hacienda,"Vivienda, Desarrollo Urbano",Ministerio de Justicia y de Derechos Humanos | Ministerio de Hacienda | Ministerio del Interior | Ministerio de Seguridad Pública | Ministerio de Bienes Nacionales | Ministerio de Vivienda y Urbanismo,rica,media,discrepancia_origen_evento_vs_sufijo | origen_transversal_con_comision_sustantiva | trayectoria_multitematica,Primer informe de comisión. Pasa a Comisión de Hacienda
18470-07,"Modifica la disposición octava transitoria de la Carta Fundamental, con el objeto de aplicar la normativa relativa a la reforma procesal penal a los hechos ocurridos con anterioridad a su entrada en vigencia",parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18490-06,"Modifica la ley Nº18.834, sobre Estatuto Administrativo, para consagrar el principio de neutralidad política y reforzar la prohibición de discriminación en la función pública",parlamentario,06,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",sufijo_boletin,0,Gobierno interior y descentralización,,,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",Gobierno interior y descentralización,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,rica,alta,,
18529-14,"Modifica la Ley General de Urbanismo y Construcciones, en materia de caminos locales emplazados en zonas rurales",parlamentario,14,"Vivienda, Desarrollo Urbano",,"Vivienda, Desarrollo Urbano",sufijo_boletin,0,Vivienda y territorio,,,"Vivienda, Desarrollo Urbano",Vivienda y territorio,"Vivienda, Desarrollo Urbano",,rica,alta,,
18598-06,Modifica la ley N°20.983 para declarar el 17 de septiembre de cada año como feriado nacional y realzar la cueca como danza nacional,parlamentario,06,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",sufijo_boletin,0,Gobierno interior y descentralización,,,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",Gobierno interior y descentralización,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,rica,alta,,
18492-13,Crea en el Código del Trabajo el cargo de responsable de gestión y ordenación del tiempo de trabajo en las empresas,parlamentario,13,Trabajo y Seguridad Social,,Trabajo y Seguridad Social,sufijo_boletin,0,Trabajo y seguridad social,,,Trabajo y Seguridad Social,Trabajo y seguridad social,Trabajo y Seguridad Social,,rica,alta,,
18493-07,"Modifica la ley N°19.640, orgánica constitucional del Ministerio Público, para disponer la inhabilidad de exfiscales para asumir cargos de exclusiva confianza de S.E. el Presidente de la República",parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18494-06,"Elimina en la ley N°18.834, sobre Estatuto Administrativo, la compatibilidad de ser titular de cargos de planta y ejercer cargos de exclusiva confianza en casos que indica",parlamentario,06,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",sufijo_boletin,0,Gobierno interior y descentralización,,,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",Gobierno interior y descentralización,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,rica,alta,,
18495-04,"Modifica la leyes N°20.370, general de Educación, y 21.040, que crea el Sistema de Educación Pública, para implementar en la educación técnico-profesional criterios de territorialidad y descentralización",parlamentario,04,Educación,,Educación,sufijo_boletin,0,Educación,,,Educación,Educación,Educación,,rica,alta,,
18496-06,"Resguarda el uso común de los bienes nacionales de uso público ante ocupaciones mediante estructuras precarias, según criterios de proporcionalidad y no discriminación",parlamentario,06,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",sufijo_boletin,0,Gobierno interior y descentralización,,,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",Gobierno interior y descentralización,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,rica,alta,,
18497-11,"Dispone estándares de resistencia estructural, gestión de riesgos y mantención para las ambulancias terrestres",parlamentario,11,Salud,,Salud,sufijo_boletin,0,Salud,,,Salud,Salud,Salud,,rica,alta,,
18498-19,"Dispone un estatuto de protección de los derechos de creadores de contenido digital en sus relaciones contractuales con plataformas digitales, marcas y agencias de representación",parlamentario,19,Ciencia y Tecnología,,Ciencia y Tecnología,sufijo_boletin,0,Ciencia y tecnología,,,Ciencia y Tecnología,Ciencia y tecnología,Ciencia y Tecnología,,rica,alta,,
18499-02,"Modifica la ley N°21.280, sobre el ámbito de aplicación del procedimiento de tutela laboral, para excluir a los funcionarios de las fuerzas Armadas, y de Orden y Seguridad Pública, de tales procedimientos",parlamentario,02,Defensa Nacional,,Defensa Nacional,sufijo_boletin,0,Defensa,,,Defensa Nacional,Defensa,Defensa Nacional,,rica,alta,,
18500-13,Modifica el Código del Trabajo para fortalecer la formalidad laboral,parlamentario,13,Trabajo y Seguridad Social,,Trabajo y Seguridad Social,sufijo_boletin,0,Trabajo y seguridad social,,,Trabajo y Seguridad Social,Trabajo y seguridad social,Trabajo y Seguridad Social,,rica,alta,,
